Approved symbol	Mouse genome database ID
DNAI1	
DNAI2	MGI:2685574
DNAI3	MGI:3045269
DNAI4	MGI:2385328
DNAI7	MGI:2444480
DNAJA1	MGI:1270129
DNAJA1P1	
DNAJA1P2	
DNAJA1P3	
DNAJA1P4	
DNAJA1P5	
DNAJA1P6	
DNAJA2	MGI:1931882
DNAJA2-DT	
DNAJA3	MGI:1933786
DNAJA4	MGI:1927638
DNAJA4-DT	
DNAJB1	MGI:1931874
DNAJB1P1	
DNAJB1P2	
DNAJB2	MGI:1928739
DNAJB3	
DNAJB4	MGI:1914285
DNAJB5	MGI:1930018
DNAJB5-DT	
DNAJB5P1	
DNAJB6	MGI:1344381
DNAJB6P1	
DNAJB6P2	
DNAJB6P3	
DNAJB6P4	
DNAJB6P5	
DNAJB6P6	
DNAJB6P7	
DNAJB6P8	
DNAJB7	MGI:1914012
DNAJB8	MGI:1922801
DNAJB8-AS1	
DNAJB9	MGI:1351618
DNAJB11	MGI:1915088
DNAJB12	MGI:1931881
DNAJB12P1	
DNAJB13	MGI:1916637
DNAJB14	MGI:1917854
DNAJC1	MGI:103268
DNAJC2	MGI:99470
DNAJC2P1	
DNAJC3	MGI:107373
DNAJC3-DT	
DNAJC4	MGI:1927346
DNAJC5	MGI:892995
DNAJC5B	MGI:1913576
DNAJC5G	MGI:3045263
DNAJC6	MGI:1919935
DNAJC7	MGI:1928373
DNAJC8	MGI:1915848
DNAJC8P1	
DNAJC8P2	
DNAJC8P3	
DNAJC8P4	
DNAJC9	MGI:1915326
DNAJC9-AS1	
DNAJC9P1	
DNAJC10	MGI:1914111
DNAJC11	MGI:2443386
DNAJC12	MGI:1353428
DNAJC13	MGI:2676368
DNAJC14	MGI:1921580
DNAJC15	MGI:1913398
DNAJC16	MGI:2442146
DNAJC17	MGI:1916658
DNAJC17P1	
DNAJC18	MGI:1923844
DNAJC19	MGI:1914963
DNAJC19P1	
DNAJC19P2	
DNAJC19P3	
DNAJC19P4	
DNAJC19P5	
DNAJC19P6	
DNAJC19P7	
DNAJC19P8	
DNAJC19P9	
DNAJC21	MGI:1925371
DNAJC22	MGI:1920028
DNAJC24	MGI:1919522
DNAJC25	MGI:1919679
DNAJC25-GNG10	
DNAJC27	MGI:2443036
DNAJC27-AS1	
DNAJC28	MGI:2181053
DNAJC30	MGI:1913364
DNAL1	MGI:1921462
DNAL4	MGI:1859217
DNALI1	MGI:1922813
DNASE1	MGI:103157
DNASE1L1	MGI:109628
DNASE1L2	MGI:1913955
DNASE1L3	MGI:1314633
DNASE2	
DNASE2B	MGI:1913283
DNCL	
DNCM	
DND1	MGI:2447763
DND1P1	
DND1P2	
DNECL	
DNER	MGI:2152889
DNHD1	MGI:1924755
DNHD1L	
DNHD2	
DNHD3	
DNHL1	
DNL1	
DNL1L	
DNL2	
DNLZ	MGI:106559
DNM1	MGI:107384
DNM1DN1@	
DNM1DN2@	
DNM1DN3@	
DNM1DN4@	
DNM1DN6	
DNM1DN7@	
DNM1DN8@	
DNM1DN10@	
DNM1DN11@	
DNM1DN12@	
DNM1DN13	
DNM1DN14@	
DNM1DN15@	
DNM1DN16@	
DNM1DN20	
DNM1DN21	
DNM1DN22	
DNM1DN23	
DNM1L	MGI:1921256
DNM1P5	
DNM1P9	
DNM1P17	
DNM1P18	
DNM1P19	
DNM1P24	
DNM1P25	
DNM1P26	
DNM1P27	
DNM1P28	
DNM1P29	
DNM1P30	
DNM1P31	
DNM1P32	
DNM1P33	
DNM1P34	
DNM1P35	
DNM1P36	
DNM1P37	
DNM1P38	
DNM1P39	
DNM1P40	
DNM1P41	
DNM1P42	
DNM1P43	
DNM1P44	
DNM1P45	
DNM1P46	
DNM1P47	
DNM1P48	
DNM1P49	
DNM1P50	
DNM1P51	
DNM2	MGI:109547
DNM3	MGI:1341299
DNM3-IT1	
DNM3OS	
DNMBP	MGI:1917352
DNMBP-AS1	
DNMT	
DNMT1	MGI:94912
DNMT3A	MGI:1261827
DNMT3AP1	
DNMT3B	
DNMT3L	MGI:1859287
DNMT3L-AS1	
DNPEP	MGI:1278328
DNPEP-AS1	
DNPH1	MGI:3039376
DNS	
DNTT	MGI:98659
DNTTIP1	MGI:1923483
DNTTIP2	MGI:1923173
DO	
DOC2A	MGI:109446
DOC2B	MGI:1100497
DOC2BL	
DOC2GP	MGI:1926250
DOCK1	MGI:2429765
DOCK2	MGI:2149010
DOCK3	MGI:2429763
DOCK4	MGI:1918006
DOCK4-AS1	
DOCK5	MGI:2652871
DOCK6	MGI:1914789
DOCK6-AS1	
DOCK7	MGI:1914549
DOCK7-DT	
DOCK8	MGI:1921396
DOCK8-AS1	
DOCK8-AS2	
DOCK9	MGI:106321
DOCK9-AS1	
DOCK9-DT	
DOCK10	MGI:2146320
DOCK11	MGI:1923224
DOCK11P1	
DOHH	MGI:1915964
DOK1	MGI:893587
DOK2	MGI:1332623
DOK3	MGI:1351490
DOK4	MGI:2148865
DOK5	MGI:1924079
DOK6	MGI:3639495
DOK7	MGI:3584043
DOLK	MGI:2677836
DOLPP1	MGI:1914093
DONSON	MGI:1890621
DONSONP1	
DOP1A	MGI:1289294
DOP1B	MGI:1917278
DOT1L	MGI:2143886
DPAGT	
DPAGT1	MGI:1196396
DPAGT2	
DPCD	MGI:1924407
DPD1	
DPDE1	
DPDE2	
DPDE3	
DPDE4	
DPEP1	MGI:94917
DPEP2	MGI:2442042
DPEP2NB	
DPEP3	MGI:1919104
DPF1	MGI:1352748
DPF2	MGI:109529
DPF3	MGI:1917377
DPH1	MGI:2151233
DPH1-AS1	
DPH2	MGI:1914978
DPH3	MGI:1922658
DPH3P1	
DPH3P2	
DPH5	MGI:1916990
DPH5-DT	
DPH6	MGI:1913882
DPH6-DT	
DPH7	MGI:1914478
DPM1	MGI:1330239
DPM2	MGI:1330238
DPM3	MGI:1915813
DPP3	MGI:1922471
DPP3-DT	
DPP3P1	
DPP3P2	
DPP4	MGI:94919
DPP4-DT	
DPP6	MGI:94921
DPP7	MGI:1933213
DPP8	MGI:1921638
DPP9	MGI:2443967
DPP9-AS1	
DPP10	MGI:2442409
DPP10-AS1	
DPP10-AS2	
DPP10-AS3	
DPPA2	MGI:2157523
DPPA2P1	
DPPA2P2	
DPPA2P3	
DPPA2P4	
DPPA3	MGI:1920958
DPPA3P1	
DPPA3P2	
DPPA3P3	
DPPA3P4	
DPPA3P5	
DPPA3P6	
DPPA3P7	
DPPA3P8	
DPPA3P9	
DPPA3P10	
DPPA3P11	
DPPA3P12	
DPPA4	MGI:2157525
DPPA4P1	
DPPA4P2	
DPPA4P3	
DPPA5	MGI:101800
DPPA5P1	
DPPA5P2	
DPPA5P3	
DPPA5P4	
DPRX	
DPRXP1	
DPRXP2	
DPRXP3	
DPRXP4	
DPRXP5	
DPRXP6	
DPRXP7	
DPT	MGI:1928392
DPY19L1	MGI:1915685
DPY19L1P1	
DPY19L1P2	
DPY19L2	
DPY19L2P1	
DPY19L2P2	
DPY19L2P3	
DPY19L2P4	
DPY19L2P5	
DPY19L3	MGI:2443952
DPY19L3-DT	
DPY19L4	MGI:2685869
DPY19L4P1	
DPY19L4P2	
DPY30	MGI:1913560
DPYD	MGI:2139667
DPYD-AS1	
DPYD-AS2	
DPYD-IT1	
DPYS	MGI:1928679
DPYSL2	MGI:1349763
DPYSL3	MGI:1349762
DPYSL4	MGI:1349764
DPYSL5	MGI:1929772
DQX1	MGI:2136388
DR1	MGI:1100515
DRA	
DRAIC	
DRAM1	MGI:1918962
DRAM2	MGI:1914421
DRAP1	MGI:1913806
DRAXIN	MGI:1917683
DRAXINP1	
DRC1	MGI:2685906
DRC3	MGI:1921915
DRC7	MGI:2685616
DRC12	MGI:2448587
DRCC1	
DRD1	MGI:99578
DRD1L1	
DRD1L2	
DRD2	MGI:94924
DRD3	MGI:94925
DRD4	MGI:94926
DRD5	MGI:94927
DRD5P1	
DRD5P2	
DRG1	MGI:1343297
DRG1P1	
DRG1P2	
DRG2	MGI:1342307
DRGX	MGI:2148204
DRICH1	
DROSHA	MGI:1261425
DRP2	MGI:107432
DRT	
DSC1	MGI:109173
DSC2	MGI:103221
DSC3	MGI:1194993
DSC4	
DSCAM	MGI:1196281
DSCAM-AS1	
DSCAM-IT1	
DSCAML1	MGI:2150309
DSCAS	
DSCC1	MGI:1919357
DSCR4	
DSCR4-IT1	
DSCR8	
DSCR9	
DSCR10	
DSE	MGI:2443455
DSEL	MGI:2442948
DSEL-AS1	
DSG1	MGI:2664357, MGI:2664358, MGI:94930
DSG1-AS1	
DSG2	MGI:1196466
DSG2-AS1	
DSG3	MGI:99499
DSG4	MGI:2661061
DSN1	MGI:1914184
DSP	MGI:109611
DSP-AS1	
DSPP	MGI:109172
DSS	
DST	MGI:104627
DST-AS1	
DSTN	MGI:1929270
DSTNP1	
DSTNP2	
DSTNP3	
DSTNP4	
DSTNP5	
DSTYK	MGI:1925064
DTD	
DTD1	MGI:1913294
DTD1-AS1	
DTD2	MGI:1923485
DTHD1	MGI:4937018
DTL	MGI:1924093
DTNA	MGI:106039
DTNB	MGI:1203728
DTNB-AS1	
DTNBP1	MGI:2137586
DTWD1	MGI:1916435
DTWD1P1	
DTWD1P2	
DTWD2	MGI:1916107
DTX1	MGI:1352744
DTX2	MGI:1921448
DTX2P1	
DTX2P1-UPK3BP1-PMS2P11	
DTX3	MGI:2135752
DTX3L	MGI:2656973
DTX4	MGI:2672905
DTYMK	MGI:108396
DUBR	MGI:1915440
DUOX1	MGI:2139422
DUOX2	MGI:3036280
DUOXA1	MGI:2384861
DUOXA2	MGI:1914061
DURS1	
DURS2	
DUS1L	MGI:1915980
DUS2	MGI:1913619
DUS3L	MGI:2147092
DUS4L	MGI:1919166
DUS4L-BCAP29	
DUSP1	MGI:105120
DUSP2	MGI:101911
DUSP3	MGI:1919599
DUSP4	MGI:2442191
DUSP5	MGI:2685183
DUSP5-DT	
DUSP5P1	
DUSP5P2	
DUSP6	MGI:1914853
DUSP7	MGI:2387100
DUSP8	MGI:106626
DUSP8P1	
DUSP8P2	
DUSP8P3	
DUSP8P4	
DUSP8P5	
DUSP9	MGI:2387107
DUSP10	MGI:1927070
DUSP11	MGI:1919352
DUSP12	MGI:1890614
DUSP12P1	
DUSP13A	
DUSP13B	MGI:1351599
DUSP14	MGI:1927168
DUSP15	MGI:1934928
DUSP16	MGI:1917936
DUSP18	MGI:1922469
DUSP19	MGI:1915332
DUSP21	MGI:1920797
DUSP22	MGI:1915926
DUSP23	MGI:1915690
DUSP26	MGI:1914209
DUSP28	MGI:1914696
DUSP29	MGI:3647127
DUT	MGI:1346051
DUT-AS1	
DUTP1	
DUTP2	
DUTP3	
DUTP4	
DUTP5	
DUTP6	
DUTP7	
DUTP8	
DUX1	
DUX2	
DUX3	
DUX4	
DUX4L1	
DUX4L2	
DUX4L3	
DUX4L4	
DUX4L5	
DUX4L6	
DUX4L7	
DUX4L8	
DUX4L9	
DUX4L10	
DUX4L11	
DUX4L12	
DUX4L13	
DUX4L14	
DUX4L15	
DUX4L16	
DUX4L17	
DUX4L18	
DUX4L19	
DUX4L20	
DUX4L21	
DUX4L22	
DUX4L23	
DUX4L24	
DUX4L25	
DUX4L26	
DUX4L27	
DUX4L28	
DUX4L29	
DUX4L31	
DUX4L32	
DUX4L33	
DUX4L34	
DUX4L35	
DUX4L36	
DUX4L37	
DUX4L38	
DUX4L39	
DUX4L40	
DUX4L41	
DUX4L42	
DUX4L43	
DUX4L44	
DUX4L45	
DUX4L46	
DUX4L47	
DUX4L48	
DUX4L49	
DUX4L50	
DUX4L51	
DUX4L52	
DUX5	
DUXA	
DUXAP1	
DUXAP2	
DUXAP3	
DUXAP4	
DUXAP5	
DUXAP6	
DUXAP7	
DUXAP8	
DUXAP9	
DUXAP10	
DUXAP11	
DUXAP12	
DUXB	
DVL1	MGI:94941
DVL1P1	
DVL2	MGI:106613
DVL3	MGI:108100
DWS	
DXO	MGI:1890444
DYDC1	MGI:1916746
DYDC2	MGI:1918450
DYM	MGI:1918480
DYM-AS1	
DYNAP	MGI:1922827
DYNAPP1	
DYNAPP2	
DYNAPP3	
DYNC1H1	MGI:103147
DYNC1I1	MGI:107743
DYNC1I2	MGI:107750
DYNC1I2P1	
DYNC1LI1	MGI:2135610
DYNC1LI2	MGI:107738
DYNC1LI2-DT	
DYNC2H1	MGI:107736
DYNC2I1	MGI:2445085
DYNC2I2	MGI:1919070
DYNC2LI1	MGI:1913996
DYNLL1	MGI:1861457
DYNLL1P1	
DYNLL1P2	
DYNLL1P3	
DYNLL1P4	
DYNLL1P5	
DYNLL1P6	
DYNLL1P7	
DYNLL2	MGI:1915347
DYNLL2-DT	
DYNLRB1	MGI:1914318
DYNLRB2	MGI:1922715
DYNLRB2-AS1	
DYNLT1	MGI:3807506, MGI:98643, MGI:3807476, MGI:3780996
DYNLT2	MGI:98642, MGI:3809205, MGI:3781595
DYNLT2B	MGI:1913311
DYNLT3	MGI:1914367
DYNLT3P1	
DYNLT3P2	
DYNLT4	MGI:3045358
DYNLT5	MGI:1914594
DYRK	
DYRK1	
DYRK1A	MGI:1330299
DYRK1AIP1	
DYRK1AIP2	
DYRK1AIP3	
DYRK1B	MGI:1330302
DYRK2	MGI:1330301
DYRK3	MGI:1330300
DYRK3-AS1	
DYRK4	MGI:1330292
DYS	
DYSF	MGI:1349385
DYT2	
DYT3	
DYT4	
DYT5	
DYT6	
DYT7	
DYT10	
DYT11	
DYT12	
DYT13	
DYT14	
DYT15	
DYT17	
DYT21	
DYT22	
DYTN	MGI:2685061
DYX1	
DYX2	
DYX3	
DYX4	
DYX5	
DYX6	
DYX7	
DYX8	
DYX9	
DZANK1	MGI:2139080
DZIP1	MGI:1914311
DZIP1L	MGI:1919757
DZIP3	MGI:1917433
E2F1	MGI:101941
E2F2	MGI:1096341
E2F3	MGI:1096340
E2F3-IT1	
E2F3P1	
E2F3P2	
E2F4	MGI:103012
E2F4P1	
E2F5	MGI:105091
E2F5-DT	
E2F6	MGI:1354159
E2F6P1	
E2F6P2	
E2F6P3	
E2F6P4	
E2F7	MGI:1289147
E2F8	MGI:1922038
E4F1	MGI:109530
E11S	
EAF1	MGI:1921677
EAF1-AS1	
EAF2	MGI:2146616
EAPP	MGI:1913516
EARS2	MGI:1914667
EBAG9	MGI:1859920
EBAG9P1	
EBD1	
EBDCT	
EBF1	MGI:95275
EBF2	MGI:894332
EBF3	MGI:894289
EBF3-AS1	
EBF4	MGI:2385972
EBI1	
EBI3	MGI:1354171
EBLN1	
EBLN2	
EBLN3P	
EBM	
EBN1	
EBN2	
EBNA1BP2	MGI:1916322
EBP	MGI:107822
EBPL	MGI:1915427
EBR1	
EBR2A	
EBR3	
EBR4	
EBS1	
EBS2	
EBS3	
EBS4	
EBVM1	
EBVS1	
ECA1	
ECD	MGI:1917851
ECE1	MGI:1101357
ECE1-AS1	
ECE2	MGI:1101356
ECEL1	MGI:1343461
ECEL1P1	
ECEL1P2	
ECEL1P3	
ECH1	MGI:1858208
ECHD	
ECHDC1	MGI:1277169
ECHDC2	MGI:1289238
ECHDC3	MGI:1915106
ECHS1	MGI:2136460
ECI1	MGI:94871
ECI1-AS1	
ECI2	MGI:1346064
ECI2-DT	
ECK	
ECM1	MGI:103060
ECM1P1	
ECM1P2	
ECM2	MGI:3039578
ECMXP	
ECPAS	MGI:2140220
ECPN	
ECRG4	MGI:1926146
ECSCR	MGI:1915795
ECSIT	MGI:1349469
ECT2	MGI:95281
ECT2L	MGI:3641723
ED#	
ED1	
ED2	
ED3	
ED4	
EDA	MGI:1195272
EDA2	
EDA2R	MGI:2442860
EDAR	MGI:1343498
EDARADD	MGI:1931001
EDC3	MGI:2142951
EDC4	MGI:2446249
EDDM3A	MGI:2684921
EDDM3B	MGI:2684921
EDDM3CP	
EDDM3DP	
EDDM13	MGI:3643580
EDDR1	
EDEM1	MGI:2180139
EDEM2	MGI:1915540
EDEM3	MGI:1914217
EDF1	MGI:1891227
EDH17B1	
EDH17B2	
EDIL3	MGI:1329025
EDIL3-DT	
EDM1	
EDM2	
EDN1	MGI:95283
EDN2	MGI:95284
EDN3	MGI:95285
EDNRA	MGI:105923
EDNRB	MGI:102720
EDNRB-AS1	
EDP1	
EDRF1	MGI:1919831
EDRF1-AS1	
EDRF1-DT	
EDS4A	
EEA1	MGI:2442192
EEC1	
EEC2	
EED	MGI:95286
EEDP1	
EEF1A1	MGI:1096881
EEF1A1-AS1	
EEF1A1L14	
EEF1A1P1	
EEF1A1P2	
EEF1A1P3	
EEF1A1P4	
EEF1A1P5	
EEF1A1P6	
EEF1A1P7	
EEF1A1P8	
EEF1A1P9	
EEF1A1P10	
EEF1A1P11	
EEF1A1P12	
EEF1A1P13	
EEF1A1P14	
EEF1A1P15	
EEF1A1P16	
EEF1A1P17	
EEF1A1P18	
EEF1A1P19	
EEF1A1P20	
EEF1A1P21	
EEF1A1P22	
EEF1A1P23	
EEF1A1P24	
EEF1A1P25	
EEF1A1P26	
EEF1A1P27	
EEF1A1P28	
EEF1A1P29	
EEF1A1P30	
EEF1A1P31	
EEF1A1P32	
EEF1A1P33	
EEF1A1P34	
EEF1A1P35	
EEF1A1P36	
EEF1A1P37	
EEF1A1P38	
EEF1A1P39	
EEF1A1P40	
EEF1A1P41	
EEF1A1P42	
EEF1A1P43	
EEF1A1P44	
EEF1A1P45	
EEF1A1P46	
EEF1A1P47	
EEF1A1P48	
EEF1A1P49	
EEF1A1P50	
EEF1A2	MGI:1096317
EEF1AKMT1	MGI:1915293
EEF1AKMT2	MGI:1919346
EEF1AKMT3	MGI:3645330
EEF1AKMT4	MGI:5903914
EEF1AKMT4-ECE2	
EEF1B2	MGI:1929520
EEF1B2P1	
EEF1B2P2	
EEF1B2P3	
EEF1B2P4	
EEF1B2P5	
EEF1B2P6	
EEF1B2P7	
EEF1B2P8	
EEF1D	MGI:1913906
EEF1DP1	
EEF1DP2	
EEF1DP3	
EEF1DP4	
EEF1DP5	
EEF1DP6	
EEF1DP7	
EEF1DP8	
EEF1E1	MGI:1913393
EEF1E1-BLOC1S5	
EEF1E1P1	
EEF1G	MGI:1914410
EEF1GP1	
EEF1GP2	
EEF1GP3	
EEF1GP4	
EEF1GP5	
EEF1GP6	
EEF1GP7	
EEF1GP8	
EEF2	MGI:95288
EEF2K	MGI:1195261
EEF2KMT	MGI:1917761
EEFSEC	MGI:2137092
EEGV1	
EEIG1	MGI:2138935
EEIG2	MGI:3036259
EEK	
EEPD1	MGI:1914734
EFCAB2	MGI:1915476
EFCAB3	MGI:1918144
EFCAB3P1	
EFCAB5	MGI:2442440
EFCAB6	MGI:1924877
EFCAB6-AS1	
EFCAB6-DT	
EFCAB7	MGI:2385199
EFCAB8	MGI:3644206
EFCAB9	MGI:1916556
EFCAB10	MGI:1922290
EFCAB10-AS1	
EFCAB11	MGI:1926017
EFCAB12	MGI:2681834
EFCAB13	MGI:3651790
EFCAB13-DT	
EFCAB14	MGI:2442397
EFCAB14-AS1	
EFCAB14P1	
EFCAB15P	MGI:1916691
EFCC1	MGI:3611451
EFE2	
EFEMP1	MGI:1339998
EFEMP2	MGI:1891209
EFHB	MGI:3045296
EFHC1	MGI:1919127
EFHC2	MGI:1921655
EFHD1	MGI:1921607
EFHD2	MGI:106504
EFHD2-AS1	
EFL1	MGI:2141969
EFL1P1	
EFL1P2	
EFMR	
EFNA1	MGI:103236
EFNA2	MGI:102707
EFNA3	MGI:106644
EFNA4	MGI:106643
EFNA5	MGI:107444
EFNB1	MGI:102708
EFNB2	MGI:105097
EFNB3	MGI:109196
EFR3A	MGI:1923990
EFR3B	MGI:2444851
EFS	MGI:105311
EFTUD2	MGI:1336880
EGF	MGI:95290
EGFEM1P	MGI:1922990
EGFL1	
EGFL2	
EGFL6	MGI:1858599
EGFL7	MGI:2449923
EGFL8	MGI:1932094
EGFL10	
EGFLAM	MGI:2146149
EGFLAM-AS1	
EGFLAM-AS2	
EGFLAM-AS3	
EGFLAM-AS4	
EGFR	MGI:95294
EGFR-AS1	
EGI	
EGILA	
EGLN1	MGI:1932286
EGLN1P1	
EGLN2	MGI:1932287
EGLN3	MGI:1932288
EGLN3-AS1	
EGLN3P1	
EGOT	MGI:5538645
EGR1	MGI:95295
EGR2	MGI:95296
EGR3	MGI:1306780
EGR4	MGI:99252
EHBP1	MGI:2667252
EHBP1-AS1	
EHBP1L1	MGI:3612340
EHD1	MGI:1341878
EHD2	MGI:2154274
EHD3	MGI:1928900
EHD4	MGI:1919619
EHD4-AS1	
EHF	MGI:1270840
EHHADH	MGI:1277964
EHHADH-AS1	
EHK1	
EHMT1	MGI:1924933
EHMT1-IT1	
EHMT2	MGI:2148922
EHMT2-AS1	
EI24	MGI:108090
EI24P1	
EI24P2	
EI24P3	
EI24P4	
EI24P5	
EI24P6	
EID1	MGI:1889651
EID2	MGI:2681174
EID2B	MGI:1924095
EID3	MGI:1913591
EIF1	MGI:105125
EIF1A	
EIF1AD	MGI:1917110
EIF1AX	MGI:1913485
EIF1AX-AS1	
EIF1AXP1	
EIF1AXP2	
EIF1AY	
EIF1B	MGI:1916219
EIF1B-AS1	
EIF1P1	
EIF1P2	
EIF1P3	
EIF1P4	
EIF1P5	
EIF1P6	
EIF1P7	
EIF2	
EIF2A	MGI:1098684
EIF2AK1	MGI:1353448
EIF2AK1P1	
EIF2AK2	MGI:1353449
EIF2AK3	MGI:1341830
EIF2AK3-DT	
EIF2AK4	MGI:1353427
EIF2AP1	
EIF2AP2	
EIF2AP3	
EIF2AP4	
EIF2B	
EIF2B1	MGI:2384802
EIF2B2	MGI:2145118
EIF2B3	MGI:1313286
EIF2B4	MGI:95300
EIF2B5	MGI:2446176
EIF2B5-DT	
EIF2D	MGI:109342
EIF2G	
EIF2S1	MGI:95299
EIF2S2	MGI:1914454
EIF2S2P1	
EIF2S2P2	
EIF2S2P3	
EIF2S2P4	
EIF2S2P5	
EIF2S2P6	
EIF2S2P7	
EIF2S3	MGI:1349431
EIF2S3B	
EIF3	
EIF3A	MGI:95301
EIF3A	
EIF3B	MGI:106478
EIF3C	MGI:1926966
EIF3CL	
EIF3D	MGI:1933181
EIF3E	MGI:99257
EIF3EP1	
EIF3EP2	
EIF3EP3	
EIF3EP4	
EIF3F	MGI:1913335
EIF3FP1	
EIF3FP2	
EIF3FP3	
EIF3G	MGI:1858258
EIF3H	MGI:1915385
EIF3I	MGI:1860763
EIF3IP1	
EIF3J	MGI:1925905
EIF3J-DT	
EIF3JP1	
EIF3JP2	
EIF3JP3	
EIF3K	MGI:1921080
EIF3KP1	
EIF3KP2	
EIF3KP3	
EIF3L	MGI:2386251
EIF3LP1	
EIF3LP2	
EIF3LP3	
EIF3M	MGI:1351744
EIF3MP1	
EIF4	
EIF4A1	MGI:95303
EIF4A1P1	
EIF4A1P2	
EIF4A1P3	
EIF4A1P4	
EIF4A1P5	
EIF4A1P6	
EIF4A1P7	
EIF4A1P8	
EIF4A1P9	
EIF4A1P10	
EIF4A1P11	
EIF4A1P12	
EIF4A1P13	
EIF4A2	MGI:106906
EIF4A2P1	
EIF4A2P2	
EIF4A2P3	
EIF4A2P4	
EIF4A2P5	
EIF4A3	MGI:1923731
EIF4A3P1	
EIF4B	MGI:95304
EIF4BP1	
EIF4BP2	
EIF4BP3	
EIF4BP4	
EIF4BP5	
EIF4BP6	
EIF4BP7	
EIF4BP8	
EIF4BP9	
EIF4C	
EIF4E	MGI:95305
EIF4E1B	MGI:2685119
EIF4E2	MGI:1914440
EIF4E2P1	
EIF4E2P2	
EIF4E3	MGI:1914142
EIF4EBP1	MGI:103267
EIF4EBP1P1	
EIF4EBP1P2	
EIF4EBP2	MGI:109198
EIF4EBP2P1	
EIF4EBP2P2	
EIF4EBP2P3	
EIF4EBP3	MGI:1270847
EIF4EL1	
EIF4ENIF1	MGI:1921453
EIF4EP1	
EIF4EP2	
EIF4EP3	
EIF4EP4	
EIF4EP5	
EIF4F	
EIF4G	
EIF4G1	MGI:2384784
EIF4G2	MGI:109207
EIF4G3	MGI:1923935
EIF4H	MGI:1341822
EIF4HP1	
EIF4HP2	
EIF5	MGI:95309
EIF5-DT	
EIF5A	MGI:106248
EIF5A2	MGI:1933735
EIF5A2P1	
EIF5AL1	
EIF5AP1	
EIF5AP2	
EIF5AP3	
EIF5AP4	
EIF5B	MGI:2441772
EIF5P1	
EIF5P2	
EIF6	MGI:1196288
EIPR1	MGI:1289332
EIPR1-IT1	
EJM1	
EJM2	
EKV	
EKV3	
ELAC1	MGI:1890495
ELAC2	MGI:1890496
ELAM1	
ELANE	MGI:2679229
ELANH2	
ELAPOR1	MGI:1923930
ELAPOR2	MGI:2443264
ELAVL1	MGI:1100851
ELAVL2	MGI:1100887
ELAVL3	MGI:109157
ELAVL4	MGI:107427
ELAVL4-AS1	
ELDR	MGI:1919985
ELF1	MGI:107180
ELF2	MGI:1916507
ELF2P1	
ELF2P2	
ELF2P3	
ELF2P4	
ELF3	MGI:1101781
ELF3-AS1	
ELF4	MGI:1928377
ELF5	MGI:1335079
ELFN1	MGI:2442479
ELFN1-AS1	
ELFN2	MGI:3608416
ELK1	MGI:101833
ELK1P1	
ELK2	
ELK2AP	
ELK2BP	
ELK3	MGI:101762
ELK4	MGI:102853
ELL	MGI:109377
ELL2	MGI:2183438
ELL2P1	
ELL2P2	
ELL2P3	
ELL2P4	
ELL3	MGI:2673679
ELMO1	MGI:2153044
ELMO1-AS1	
ELMO2	MGI:2153045
ELMO2P1	
ELMO3	MGI:2679007
ELMOD1	MGI:3583900
ELMOD2	MGI:2445165
ELMOD3	MGI:2445168
ELN	MGI:95317
ELN-AS1	
ELNL1	
ELNR1	
ELOA	MGI:1351315
ELOA-AS1	
ELOA2	
ELOA3BP	
ELOA3CP	
ELOA3DP	
ELOA3P	
ELOAP1	
ELOB	MGI:1914923
ELOBP1	
ELOBP2	
ELOBP3	
ELOBP4	
ELOC	MGI:1915173
ELOCP2	
ELOCP3	
ELOCP4	
ELOCP5	
ELOCP6	
ELOCP7	
ELOCP8	
ELOCP9	
ELOCP10	
ELOCP11	
ELOCP12	
ELOCP13	
ELOCP14	
ELOCP15	
ELOCP16	
ELOCP17	
ELOCP18	
ELOCP19	
ELOCP20	
ELOCP21	
ELOCP22	
ELOCP23	
ELOCP24	
ELOCP26	
ELOCP27	
ELOCP28	
ELOCP29	
ELOCP30	
ELOCP31	
ELOCP32	
ELOCP33	
ELOCP34	
ELOCP35	
ELOCP36	
ELOF1	MGI:1913376
ELOVL1	MGI:1858959
ELOVL2	MGI:1858960
ELOVL2-AS1	
ELOVL3	MGI:1195976
ELOVL4	MGI:1933331
ELOVL5	MGI:1916051
ELOVL6	MGI:2156528
ELOVL7	MGI:1921809
ELP1	MGI:1914544
ELP2	MGI:1889642
ELP3	MGI:1921445
ELP4	MGI:1925016
ELP5	MGI:1859017
ELP6	MGI:1919349
ELSPBP1	
EMB	MGI:95321
EMBP1	
EMC1	MGI:2443696
EMC1-AS1	
EMC2	MGI:1913986
EMC3	MGI:1913337
EMC3-AS1	
EMC4	MGI:1915282
EMC6	MGI:1913298
EMC7	MGI:1920274
EMC8	MGI:1343095
EMC9	MGI:1934682
EMC10	MGI:1916933
EMCN	MGI:1891716
EMD	MGI:108117
EME1	MGI:3576783
EME2	MGI:1919889
EMG1	MGI:1315195
EMICERI	
EMID1	MGI:2155091
EMILIN1	MGI:1926189
EMILIN2	MGI:2389136
EMILIN3	MGI:2389142
EMILIN5	
EML1	MGI:1915769
EML2	MGI:1919455
EML2-AS1	
EML3	MGI:2387612
EML4	MGI:1926048
EML4-AS1	
EML5	MGI:2442513
EML6	MGI:2442895
EML6-AS1	
EMP1	MGI:107941
EMP2	MGI:1098726
EMP2P1	
EMP3	MGI:1098729
EMSLR	
EMSY	MGI:1924203
