Phenotype description	Gene name
response to light stimulus increased behavioural activity	znf408
retina vasculature development in camera-type eye disrupted	znf408
vascular sprouts morphology	znf408
vasculature development disrupted	znf408
apoptotic process occurs_in telencephalon increased occurrence	osgep
head decreased diameter	osgep
head decreased size	osgep
telencephalon apoptotic	osgep
telencephalon decreased size	osgep
telencephalon morphology	osgep
whole organism dead	osgep
whole organism decreased life span	osgep
	smad4b
apoptotic process occurs_in posterior lateral line primordium increased occurrence	prpf4
brain increased amount	prpf4
brain opaque	prpf4
cell death occurs_in brain increased occurrence	prpf4
cell death occurs_in eye increased occurrence	prpf4
cell death occurs_in midbrain increased occurrence	prpf4
cell death occurs_in spinal cord increased occurrence	prpf4
embryo development disrupted	prpf4
eye decreased size	prpf4
eye increased amount	prpf4
optokinetic behavior disrupted	prpf4
pericardium edematous	prpf4
photoreceptor outer segment part_of photoreceptor cell decreased amount	prpf4
posterior lateral line neuromast primordium migration decreased rate	prpf4
posterior lateral line neuromast primordium migration delayed	prpf4
posterior lateral line primordium decreased amount	prpf4
posterior lateral line primordium decreased distribution	prpf4
posterior lateral line primordium increased amount	prpf4
posterior lateral line primordium increased distribution	prpf4
spinal cord increased amount	prpf4
trunk curved	prpf4
trunk decreased length	prpf4
whole organism dead	prpf4
whole organism deformed	prpf4
whole organism has fewer parts of type	prpf4
whole organism increased amount	prpf4
	dnah5l
	cln8
cell death increased occurrence	nup93
central nervous system necrotic	nup93
cerebellum apoptotic	nup93
eye apoptotic	nup93
eye decreased size	nup93
eye protruding	nup93
eye quality	nup93
gut hypoplastic	nup93
head decreased size	nup93
hindbrain apoptotic	nup93
liver hypoplastic	nup93
midbrain apoptotic	nup93
nervous system quality	nup93
optic tectum necrotic	nup93
pericardium edematous	nup93
sensory system quality	nup93
whole organism edematous	nup93
axis curved ventral	mybpc1
brain malformed	mybpc1
eye malformed	mybpc1
hatching delayed	mybpc1
heart edematous	mybpc1
myofibril part_of slow muscle cell decreased size	mybpc1
myofibril part_of slow muscle cell disorganized	mybpc1
myosin filament part_of slow muscle cell disorganized	mybpc1
sarcomere part_of slow muscle cell decreased amount	mybpc1
sarcomere part_of slow muscle cell malformed	mybpc1
skeletal muscle part_of trunk increased amount	mybpc1
slow muscle cell has fewer parts of type GO:0030016	mybpc1
slow-twitch skeletal muscle fiber contraction decreased process quality	mybpc1
striated muscle thin filament part_of slow muscle cell disorganized	mybpc1
taxis decreased process quality	mybpc1
thigmotaxis decreased process quality	mybpc1
whole organism decreased life span	mybpc1
	trpc6b
Z disc part_of skeletal muscle increased thickness	klhl41a
eye decreased size	klhl41a
myofibril part_of skeletal muscle disorganized	klhl41a
pericardium edematous	klhl41a
sarcomere part_of skeletal muscle disorganized	klhl41a
skeletal muscle decreased size	klhl41a
skeletal muscle refractivity	klhl41a
thigmotaxis disrupted	klhl41a
whole organism dead	klhl41a
whole organism decreased thickness	klhl41a
	si:cabz01090193.1
	pnp5a
Rohon-Beard neuron decreased amount	rad21a
apoptotic process occurs_in head increased occurrence	rad21a
apoptotic process occurs_in post-vent region increased occurrence	rad21a
atrioventricular valve decreased size	rad21a
atrioventricular valve non-functional	rad21a
atrioventricular valve orientation	rad21a
blood circulation arrested	rad21a
blood circulation decreased process quality	rad21a
blood circulation decreased rate	rad21a
blood part_of atrium decreased amount	rad21a
blood part_of cardiac ventricle decreased amount	rad21a
brain decreased amount	rad21a
brain necrotic	rad21a
cardiac neural crest accumulation BSPO:0000072	rad21a
cardiac neural crest mislocalised	rad21a
cardiac neural crest part_of heart decreased amount	rad21a
cartilage development occurs_in cranial cartilage disrupted	rad21a
cell death increased occurrence	rad21a
cell population proliferation increased occurrence	rad21a
central nervous system necrotic	rad21a
chromosome part_of whole organism condensed	rad21a
chromosome part_of whole organism disorganized	rad21a
developmental growth disrupted	rad21a
embryo development arrested	rad21a
embryo development delayed	rad21a
embryo development disrupted	rad21a
enteric neuron decreased amount	rad21a
eye decreased size	rad21a
head decreased size	rad21a
heart contraction decreased rate	rad21a
heart looping disrupted	rad21a
heart edematous	rad21a
heart malformed	rad21a
heart morphology	rad21a
heart quality	rad21a
melanocyte mislocalised	rad21a
melanocyte part_of epidermis position	rad21a
mitotic M phase duration	rad21a
mitotic cell cycle arrested	rad21a
mitotic sister chromatid cohesion process quality	rad21a
neuron development process quality	rad21a
nucleate erythrocyte increased accumulation	rad21a
pericardium edematous	rad21a
peristalsis occurs_in gut decreased process quality	rad21a
pharyngeal arch aplastic	rad21a
pharyngeal arch disorganized	rad21a
pharyngeal arch morphology	rad21a
pigmentation occurs_in neural tube increased occurrence	rad21a
post-vent region curved	rad21a
rRNA transcription decreased process quality	rad21a
regulation of transcription by RNA polymerase II disrupted	rad21a
spindle part_of cell morphology	rad21a
translation decreased process quality	rad21a
trigeminal ganglion decreased size	rad21a
trunk decreased thickness	rad21a
trunk degenerate	rad21a
ventriculo bulbo valve aplastic	rad21a
ventriculo bulbo valve decreased size	rad21a
whole organism apoptotic	rad21a
whole organism dead	rad21a
whole organism decreased amount	rad21a
whole organism decreased length	rad21a
whole organism decreased size	rad21a
whole organism deformed	rad21a
whole organism increased amount	rad21a
whole organism lethal (sensu genetics)	rad21a
whole organism morphology	rad21a
whole organism viability	rad21a
	bicc1a
T cell part_of thymus decreased amount	foxn1
cell population proliferation occurs_in thymus decreased occurrence	foxn1
epithelial cell part_of thymus decreased amount	foxn1
head kidney decreased amount	foxn1
head kidney increased amount	foxn1
lymphocyte part_of head kidney decreased amount	foxn1
thymus development disrupted	foxn1
thymus atrophied	foxn1
thymus decreased size	foxn1
whole organism decreased amount	foxn1
angiogenesis disrupted	plekhg5a
blood vessel endothelial cell migration disrupted	plekhg5a
blood vessel morphogenesis disrupted	plekhg5a
endothelial tip cell circular	plekhg5a
filopodium part_of endothelial tip cell absent	plekhg5a
intersegmental vessel morphology	plekhg5a
intersegmental vessel truncated	plekhg5a
post-vent region decreased length	plekhg5a
post-vent region kinked	plekhg5a
primordial hindbrain channel dilated	plekhg5a
primordial midbrain channel dilated	plekhg5a
whole organism decreased length	plekhg5a
whole organism viability	plekhg5a
	ddost
	ap4e1
	cryba1a
	kiz
	il2rb
caudal fin morphology	pygma
glycogen part_of whole organism increased amount	pygma
muscle cell morphology	pygma
pericardium edematous	pygma
trunk curved ventral	pygma
	plcg2
head decreased size	megf10
locomotory behavior disrupted	megf10
muscle cell disorganized	megf10
muscle disorganized	megf10
myofibril part_of muscle loose	megf10
myofibril part_of skeletal muscle degenerate	megf10
myoseptum curved	megf10
post-vent region bent	megf10
post-vent region curled	megf10
striated muscle tissue development disrupted	megf10
whole organism circling	megf10
whole organism decreased life span	megf10
whole organism refractivity	megf10
	acta1a
	egln1a
	opa3
double-strand break repair occurs_in whole organism decreased occurrence	brca2
female gonad development arrested	brca2
female organism absent	brca2
female sex determination arrested	brca2
female sex determination decreased occurrence	brca2
heart edematous	brca2
interrenal primordium increased amount	brca2
interrenal primordium increased distribution	brca2
interrenal primordium increased size	brca2
male meiotic nuclear division arrested	brca2
male organism decreased fertility	brca2
male organism increased amount	brca2
male sex determination increased occurrence	brca2
ovary absent	brca2
pericardium edematous	brca2
pleuroperitoneal cavity edematous	brca2
podocyte absent	brca2
podocyte decreased amount	brca2
pronephric glomerulus development decreased occurrence	brca2
pronephric podocyte absent	brca2
pronephric podocyte decreased amount	brca2
pronephros lacks all parts of type	brca2
pronephros lacks parts or has fewer parts of type	brca2
renal filtration occurs_in pronephros decreased occurrence	brca2
sperm part_of testis absent	brca2
spermatocyte apoptotic	brca2
spermatogenesis arrested	brca2
testis degeneration	brca2
testis has fewer parts of type	brca2
testis hyperplastic	brca2
testis neoplastic	brca2
whole organism decreased male fertility	brca2
whole organism increased amount	brca2
whole organism increased distribution	brca2
NaK ionocyte decreased accumulation ZFA:0000368	trpv4
NaK ionocyte decreased amount	trpv4
acid secretion occurs_in ball decreased occurrence	trpv4
acid secretion occurs_in integument decreased occurrence	trpv4
acid secretion occurs_in vH ionocyte decreased occurrence	trpv4
atrioventricular canal endocardium decreased amount	trpv4
atrioventricular canal morphogenesis decreased occurrence	trpv4
atrioventricular canal decreased amount	trpv4
atrioventricular valve morphology	trpv4
atrioventricular valve shape	trpv4
brain hydrocephalic	trpv4
calcium2+ part_of whole organism decreased amount	trpv4
chloride part_of whole organism decreased amount	trpv4
endothelial cell part_of atrioventricular canal endocardium decreased amount	trpv4
epidermal stem cell decreased accumulation ZFA:0000368	trpv4
epidermal stem cell decreased amount	trpv4
sodium(1+) part_of whole organism decreased amount	trpv4
vH ionocyte decreased accumulation ZFA:0000368	trpv4
vH ionocyte decreased amount	trpv4
whole organism decreased amount	trpv4
anterior-posterior axis part_of whole organism curved	snrnp200
brain malformed	snrnp200
heart edematous	snrnp200
mRNA splicing via spliceosome process quality	snrnp200
retinal rod cell physical object quality	snrnp200
trunk shortened	snrnp200
whole organism decreased life span	snrnp200
whole organism deformed	snrnp200
whole organism morphology	snrnp200
actin filament part_of fast muscle cell disorganized	tnnt3b
muscle part_of trunk refractivity	tnnt3b
myofibril part_of fast muscle cell disorganized	tnnt3b
sarcomere part_of skeletal muscle disorganized	tnnt3b
	stt3b
	rnaseh1
	pfkma
	cacna1ea
DNA demethylation increased occurrence	apc
adenoma part_of intestine present	apc
adenoma part_of liver present	apc
adenomatous polyp part_of intestine increased amount	apc
adenomatous polyp part_of intestine present	apc
aerobic respiration decreased rate	apc
anterior commissure morphology	apc
anterior region part_of neuroectoderm decreased size	apc
anterior/posterior axis specification process quality	apc
atrioventricular canal endocardium decreased amount	apc
atrioventricular canal endocardium fused with	apc
atrioventricular canal obstructed	apc
atrioventricular valve malformed	apc
axon guidance disrupted	apc
ball deformed	apc
blood circulation disrupted	apc
blood circulation occurs_in dorsal aorta decreased process quality	apc
blood part_of dorsal aorta decreased fluid flow	apc
canonical Wnt signaling pathway decreased process quality	apc
canonical Wnt signaling pathway disrupted	apc
canonical Wnt signaling pathway occurs_in epidermal basal stratum increased process quality	apc
canonical Wnt signaling pathway occurs_in heart increased occurrence	apc
cardiac jelly increased volume	apc
cardiac muscle cell part_of cardiac conduction system increased amount	apc
cardiac ventricle mislocalised radially	apc
caudal commissure morphology	apc
caudal fin curved dorsal	apc
cell population proliferation increased occurrence	apc
cerebellar granule cell precursor proliferation increased occurrence	apc
cerebellum morphogenesis disrupted	apc
cerebellum structural organization disrupted	apc
cerebellum disorganized	apc
cerebellum morphology	apc
chemokine production disrupted	apc
cranial nerve II malformed	apc
diencephalon decreased size	apc
diencephalon flattened	apc
digestive tract development disrupted	apc
digestive tract mesoderm development disrupted	apc
dorsal region part_of cerebellum curved	apc
dorsal region part_of cerebellum increased size	apc
ecto-epithelial cell part_of epidermal basal stratum elongated	apc
embryo development decreased rate	apc
embryonic heart tube left/right pattern formation disrupted	apc
embryonic medial fin morphogenesis decreased process quality	apc
endocardium hyperplastic	apc
endoderm development disrupted	apc
endodermal digestive tract morphogenesis disrupted	apc
epidermal basal stratum decreased height	apc
epithelial cell morphogenesis occurs_in epidermal basal stratum decreased process quality	apc
epithelial cell proliferation occurs_in median fin fold decreased occurrence	apc
exocrine pancreas development disrupted	apc
extension decreased length	apc
eye decreased size	apc
fin bud immature	apc
forebrain anterior/posterior pattern specification disrupted	apc
forebrain dorsal/ventral pattern formation disrupted	apc
forebrain wholly dorsalized	apc
gut decreased amount	apc
gut deformed	apc
head decreased amount	apc
head shape	apc
heart contraction disrupted	apc
heart jogging disrupted	apc
heart looping disrupted	apc
heart decreased contractility	apc
heart increased amount	apc
heart increased distribution	apc
heart quality	apc
hepatocyte differentiation disrupted	apc
hepatocyte increased amount	apc
hyperplastic polyp part_of intestine increased distribution	apc
intestinal bulb hypoplastic	apc
intestinal epithelium aplastic	apc
intestine decreased distribution	apc
intestine hyperplastic	apc
intestine immature	apc
intestine lacks all parts of type	apc
intestine morphology	apc
intestine neoplastic spontaneous	apc
intestine poorly differentiated	apc
lactate part_of whole organism increased amount	apc
laminin complex part_of median fin fold increased amount	apc
liver primordium aplastic	apc
liver primordium increased size	apc
liver aplastic	apc
liver apoptotic	apc
liver has extra parts of type	apc
liver increased size	apc
liver neoplastic spontaneous	apc
mandibular arch skeleton immature	apc
midbrain hindbrain boundary morphology	apc
midbrain-hindbrain boundary maturation disrupted	apc
mitotic cell cycle occurs_in neuromast increased rate	apc
negative regulation of canonical Wnt signaling pathway disrupted	apc
neuromast has extra parts of type	apc
optic nerve head decreased thickness	apc
optic stalk morphology	apc
optic tectum apoptotic	apc
optic tectum decreased size	apc
optic tectum flattened	apc
optic tectum opaque	apc
otic vesicle increased size	apc
pancreas development disrupted	apc
pancreas aplastic	apc
pancreas decreased size	apc
pancreatic bud aplastic	apc
pancreatic bud decreased size	apc
pectoral fin absent	apc
pectoral fin decreased length	apc
pectoral fin ruffled	apc
pericardial region edematous	apc
pericardium edematous	apc
pharynx immature	apc
post-vent region curved dorsal	apc
posterior lateral line neuromast primordium migration arrested	apc
posterior lateral line primordium decreased distribution	apc
posterior lateral line primordium increased distribution	apc
posterior lateral line primordium morphology	apc
posterior lateral line primordium spatial pattern	apc
postoptic commissure morphology	apc
preoptic area decreased amount	apc
presumptive atrium heart tube mislocalised radially	apc
regulation of DNA methylation disrupted	apc
retina development in camera-type eye disrupted	apc
retina immature	apc
retina morphology	apc
retinal ganglion cell axon guidance disrupted	apc
retinal ganglion cell layer disorganized	apc
retinoic acid receptor signaling pathway disrupted	apc
somite flattened	apc
somite morphology	apc
tectal ventricle collapsed	apc
tooth placode agenesis	apc
triglyceride part_of whole organism decreased amount	apc
trunk decreased amount	apc
ventral fin fold morphology	apc
ventral region part_of cerebellum decreased thickness	apc
whole organism curved	apc
whole organism dead	apc
whole organism decreased amount	apc
whole organism decreased length	apc
whole organism increased amount	apc
whole organism spatial pattern	apc
yolk increased size	apc
zona limitans intrathalamica morphology	apc
	ufsp2
	rasgrp2
atrium decreased functionality	myot
cardiac ventricle decreased functionality	myot
heart contraction decreased rate	myot
locomotion disrupted	myot
nucleus part_of skeletal muscle circular	myot
pericardium edematous	myot
sarcomere part_of skeletal muscle disorganized	myot
skeletal muscle myofibril part_of skeletal muscle absent	myot
skeletal muscle refractivity	myot
thigmotaxis disrupted	myot
trunk curved	myot
whole organism decreased mobility	myot
	ampd2a
whole organism wholly dorsalized	bmpr1ab
	nfixb
	si:dkey-33c12.11
	ivns1abpb
	HTRA2
	sugct
	ndufaf5
brain hydrocephalic	dnmbp
cilium part_of pronephric duct disorganized	dnmbp
determination of heart left/right asymmetry disrupted	dnmbp
eye decreased size	dnmbp
gut edematous	dnmbp
heart inverted	dnmbp
pericardium edematous	dnmbp
post-vent region curved ventral	dnmbp
renal glomerulus disorganized	dnmbp
renal glomerulus distended	dnmbp
heart edematous	dpm3
hindbrain decreased amount	dpm3
locomotory behavior process quality	dpm3
muscle dystrophic	dpm3
muscle refractivity	dpm3
nucleus part_of whole organism apoptotic	dpm3
thigmotaxis disrupted	dpm3
trunk curved ventral	dpm3
whole organism dead	dpm3
whole organism decreased amount	dpm3
yolk morphology	dpm3
	lmnb1
blood circulation disrupted	foxc1b
blood vessel morphogenesis disrupted	foxc1b
determination of heart left/right asymmetry disrupted	foxc1b
heart spatial pattern	foxc1b
whole organism increased amount	foxc1b
	lrp12
	gale
embryonic viscerocranium morphogenesis occurs_in pharyngeal arch 3-7 delayed	slx4
female organism absent	slx4
female sex determination decreased occurrence	slx4
gall bladder hypoplastic	slx4
intestine hypoplastic	slx4
intrahepatic bile duct absent	slx4
liver hypoplastic	slx4
male organism increased amount	slx4
male sex determination increased occurrence	slx4
whole organism decreased life span	slx4
whole organism decreased size	slx4
	atp1a1a.2
	KCNT1
	ano5b
head decreased amount	snrpe
head decreased size	snrpe
brain hydrocephalic	tubb4b
cilium assembly disrupted	tubb4b
cilium part_of peripheral olfactory organ morphology	tubb4b
determination of heart left/right asymmetry disrupted	tubb4b
heart edematous	tubb4b
otolith malformed	tubb4b
post-vent region curved	tubb4b
	psmc3ip
dorsal aorta morphogenesis decreased process quality	col4a1
dorsal aorta increased diameter	col4a1
dorsal aorta increased elasticity	col4a1
	slc52a2
	CACNA2D1
canonical Wnt signaling pathway decreased process quality	dmxl2
early endosome part_of neural crest cell aggregated	dmxl2
early endosome part_of neural crest cell increased amount	dmxl2
early endosome part_of neural crest cell increased size	dmxl2
endocytosis occurs_in neural crest cell process quality	dmxl2
endosome part_of neural crest cell immature	dmxl2
late endosome part_of neural crest cell decreased amount	dmxl2
late endosome part_of neural crest cell decreased size	dmxl2
melanocyte decreased amount	dmxl2
midbrain hindbrain boundary morphology	dmxl2
neural crest cell migration decreased rate	dmxl2
neural crest cell migration disrupted	dmxl2
neural crest cell migration process quality	dmxl2
neural crest cell aggregated	dmxl2
neural crest cell mislocalised	dmxl2
neural crest cell part_of melanoblast aggregated	dmxl2
neural crest cell part_of xanthoblast aggregated	dmxl2
neuron-neuron synaptic transmission decreased process quality	dmxl2
pericardium edematous	dmxl2
post-vent region curved	dmxl2
post-vent region decreased length	dmxl2
post-vent region kinked	dmxl2
regulation of cellular pH reduction decreased process quality	dmxl2
regulation of proton-transporting ATPase activity rotational mechanism decreased process quality	dmxl2
sensory perception of sound decreased process quality	dmxl2
synaptic vesicle lumen acidification decreased process quality	dmxl2
synaptic vesicle lumen part_of neuromast hair cell decreased acidity	dmxl2
synaptic vesicle maturation decreased process quality	dmxl2
vacuolar proton-transporting V-type ATPase V1 domain part_of neuromast hair cell mislocalised	dmxl2
atrioventricular canal increased width	tbx3a
developmental growth neotenous growth	tbx3a
fin bud aplastic	tbx3a
fin bud decreased size	tbx3a
heart looping arrested	tbx3a
heart looping delayed	tbx3a
otic vesicle malformed	tbx3a
pericardium swollen	tbx3a
	zgc:56095
	tmem163a
	kbtbd13
	prom1a
axon part_of CaP motoneuron increased branchiness	tbc1d23
axon part_of CaP motoneuron morphology	tbc1d23
brain decreased amount	tbc1d23
brain decreased size	tbc1d23
brainstem decreased size	tbc1d23
brainstem morphology	tbc1d23
caudal fin curved	tbc1d23
cerebellum decreased size	tbc1d23
cerebellum morphology	tbc1d23
eye decreased size	tbc1d23
forebrain morphology	tbc1d23
fourth ventricle increased size	tbc1d23
midbrain decreased size	tbc1d23
midbrain morphology	tbc1d23
post-vent region increased curvature	tbc1d23
swimming behavior decreased occurrence	tbc1d23
swimming behavior process quality	tbc1d23
trunk decreased amount	tbc1d23
ventricular system increased size	tbc1d23
whole organism decreased amount	tbc1d23
head decreased amount	tulp1a
short single cone cell absence of anatomical entity	tulp1a
short single cone cell decreased length	tulp1a
	aqp8a.2
	ndufs2
eye decreased size	gne
fast muscle cell decreased width	gne
fast muscle cell disorganized	gne
locomotion decreased process quality	gne
muscle cell part_of skeletal muscle loose	gne
muscle disorganized	gne
muscle increased distance	gne
pericardium edematous	gne
skeletal muscle cell undulate	gne
slow muscle cell part_of somite decreased amount	gne
somite U-shaped	gne
trunk hypoplastic	gne
whole organism decreased length	gne
	ACTC1
	slc46a1
cilium part_of Kupffer's vesicle decreased length	orc6
determination of pancreatic left/right asymmetry disrupted	orc6
endocrine pancreas mislocalised	orc6
eye decreased size	orc6
head decreased size	orc6
heart looping disrupted	orc6
heart structure	orc6
pericardium edematous	orc6
pronephros cystic	orc6
whole organism curvature	orc6
whole organism decreased length	orc6
	rps17
	cln6b
	itga2.3
	nalcn
	trmt5
	qdprb2
	egln1b
	egln1b
Z disc part_of muscle decreased length	gars1
axon development disrupted	gars1
axon part_of CaP motoneuron decreased amount	gars1
axon part_of CaP motoneuron decreased length	gars1
axonogenesis involved in innervation disrupted	gars1
axonogenesis occurs_in muscle disrupted	gars1
blood circulation arrested	gars1
embryo development disrupted	gars1
endocardial cushion formation disrupted	gars1
eye decreased size	gars1
fin quality	gars1
head decreased size	gars1
heart quality	gars1
mesenchymal cell part_of atrioventricular canal decreased amount	gars1
muscle tendon junction part_of myoseptum morphology	gars1
myofibril part_of skeletal muscle decreased thickness	gars1
myoseptum U-shaped	gars1
neuromuscular junction of skeletal muscle fiber part_of myotome decreased amount	gars1
neuromuscular junction of skeletal muscle fiber part_of myotome decreased distribution	gars1
neuromuscular junction of skeletal muscle fiber part_of myotome spatial pattern	gars1
neuromuscular junction part_of muscle decreased amount	gars1
neuromuscular junction part_of somite decreased area	gars1
pericardium edematous	gars1
pharyngeal arch 3-7 skeleton quality	gars1
skeletal muscle myofibril part_of skeletal muscle disorganized	gars1
skeletal muscle myofibril part_of skeletal muscle loose	gars1
swimming behavior occurs_in whole organism decreased process quality	gars1
synapse part_of myotome decreased amount	gars1
synaptic vesicle part_of myotome decreased distribution	gars1
synaptic vesicle part_of myotome spatial pattern	gars1
thigmotaxis disrupted	gars1
whole organism dead	gars1
whole organism decreased amount	gars1
whole organism decreased length	gars1
myotome cellular quality	bmpr1ba
skeletal muscle cell differentiated	bmpr1ba
anatomical system quality	sptb
atrium dilated	sptb
blood quality	sptb
cardiac ventricle dilated	sptb
kidney has extra parts of type	sptb
kidney hyperplastic	sptb
kidney increased size	sptb
nucleate erythrocyte absent	sptb
nucleate erythrocyte binucleate	sptb
nucleate erythrocyte decreased amount	sptb
nucleate erythrocyte shape	sptb
nucleate erythrocyte spherical	sptb
nucleate erythrocyte teardrop-shaped	sptb
nucleus part_of nucleate erythrocyte structure	sptb
	alg14
	myo1ea
	grin2da
adaxial cell decreased amount	shha
adaxial cell immature	shha
adaxial cell physical object quality	shha
anatomical system quality	shha
anterior region part_of segmental plate has fewer parts of type	shha
blood circulation arrested	shha
blood circulation delayed	shha
blood circulation disrupted	shha
brain absent	shha
caudal fin curled	shha
cell part_of pectoral fin skeleton decreased amount	shha
cleithrum part_of pectoral fin decreased length	shha
endoderm absent	shha
epithelial cell differentiation occurs_in esophageal epithelium disrupted	shha
esophageal epithelium disorganized	shha
esophagus malformed	shha
eye decreased amount	shha
eye decreased size	shha
eye fused with	shha
fin fold pectoral fin bud disorganized	shha
fin decreased size	shha
floor plate hypoplastic	shha
floor plate quality	shha
forebrain decreased amount	shha
heart quality	shha
hindbrain decreased amount	shha
horizontal myoseptum absent	shha
horizontal myoseptum hypoplastic	shha
larval locomotory behavior process quality	shha
liver increased size	shha
midbrain hindbrain boundary morphology	shha
muscle cell differentiation decreased occurrence	shha
muscle pioneer absent	shha
muscle pioneer part_of somite decreased amount	shha
musculoskeletal movement disrupted	shha
myoseptum aplastic	shha
myoseptum quality	shha
neural tube decreased thickness	shha
notochord morphology	shha
notochord quality	shha
nucleus part_of slow muscle cell decreased amount	shha
odontogenesis arrested	shha
pectoral fin actinotrichium decreased size	shha
pectoral fin bud decreased size	shha
pectoral fin endoskeletal disc decreased size	shha
pectoral fin decreased length	shha
pectoral fin decreased size	shha
pectoral fin quality	shha
pectoral fin variability of size	shha
pectoral girdle morphology	shha
post-vent region quality	shha
primary islet absent	shha
retina development in camera-type eye disrupted	shha
retinal cone cell decreased amount	shha
retinal cone cell irregular spatial pattern	shha
retinal ganglion cell axon guidance disrupted	shha
scapulocoracoid part_of pectoral fin decreased size	shha
sensory system quality	shha
skeletal muscle fiber development process quality	shha
skeletal muscle tissue development delayed	shha
skeletal muscle tissue development disrupted	shha
slow muscle cell decreased amount	shha
somite U-shaped	shha
somite decreased size	shha
somite has extra parts of type	shha
somite quality	shha
striated muscle cell differentiation delayed	shha
striated muscle cell differentiation process quality	shha
surface structure quality	shha
swim bladder physical object quality	shha
ventral side part_of somite spatial pattern	shha
whole organism absent	shha
whole organism decreased amount	shha
whole organism decreased behavioural activity	shha
whole organism lacks all parts of type	shha
whole organism lethal (sensu genetics)	shha
whole organism movement behavioral quality	shha
whole organism shape	shha
whole organism viability	shha
	pomgnt1
	ngfa
	mrps25
apoptotic process occurs_in pronephric glomerulus increased occurrence	epoa
apoptotic process occurs_in pronephros increased occurrence	epoa
hemoglobin complex part_of nucleate erythrocyte decreased amount	epoa
nucleate erythrocyte decreased amount	epoa
pericardium edematous	epoa
pronephric duct decreased length	epoa
pronephric glomerulus increased size	epoa
pronephric tubule decreased length	epoa
pronephros decreased functionality	epoa
renal glomerulus increased size	epoa
whole organism absent	epoa
whole organism decreased amount	epoa
whole organism decreased concentration GO:0005833	epoa
whole organism increased amount	epoa
whole organism lethal (sensu genetics)	epoa
	cacna2d1a
	kcnc4
	ccdc115
anterior-posterior axis part_of whole organism decreased length	fzd2
cell migration disrupted	fzd2
cilium part_of Kupffer's vesicle decreased amount	fzd2
cilium part_of Kupffer's vesicle decreased length	fzd2
convergent extension involved in gastrulation disrupted	fzd2
dorsal fin decreased size	fzd2
endocrine pancreas development disrupted	fzd2
floor plate undulate	fzd2
heart looping disrupted	fzd2
heart tube inverted	fzd2
hypochord undulate	fzd2
notochord decreased length	fzd2
notochord increased thickness	fzd2
notochord increased width	fzd2
notochord kinked	fzd2
notochord undulate	fzd2
pancreas development disrupted	fzd2
post-vent region curved ventral	fzd2
post-vent region decreased length	fzd2
post-vent region kinked	fzd2
somite asymmetrical	fzd2
somite condensed	fzd2
somite increased width	fzd2
somitogenesis disrupted	fzd2
ventral fin fold decreased size	fzd2
whole organism oblong	fzd2
	si:dkey-15j16.3
	ivns1abpa
	si:dkey-112g5.11
	atl3
	hpxa
high voltage-gated calcium channel activity decreased process quality	cacna1ab
locomotion involved in locomotory behavior disrupted	cacna1ab
motor neuron activation quality	cacna1ab
musculoskeletal movement quality	cacna1ab
neuromuscular synaptic transmission decreased occurrence	cacna1ab
neuromuscular synaptic transmission decreased process quality	cacna1ab
response to external stimulus arrested	cacna1ab
response to external stimulus quality	cacna1ab
sensory perception of touch decreased intensity	cacna1ab
slow muscle cell non-contractile	cacna1ab
swimming behavior absent	cacna1ab
swimming behavior decreased occurrence	cacna1ab
swimming decreased process quality	cacna1ab
thigmotaxis arrested	cacna1ab
thigmotaxis decreased process quality	cacna1ab
thigmotaxis disrupted	cacna1ab
whole organism decreased mobility	cacna1ab
whole organism viability	cacna1ab
axon part_of motor neuron decreased length	grnb
	casp10
Purkinje cell part_of cerebellum distributed	exosc3
axon part_of motor neuron branchiness	exosc3
axon part_of motor neuron truncated	exosc3
axonogenesis disrupted	exosc3
brain decreased size	exosc3
cerebellar Purkinje cell layer structural organization disrupted	exosc3
cerebellum structure	exosc3
cranial nerve VII morphology	exosc3
eye decreased size	exosc3
eye malformed	exosc3
hindbrain morphogenesis disrupted	exosc3
hindbrain decreased size	exosc3
hindbrain morphology	exosc3
locomotion decreased process quality	exosc3
spinal cord curved	exosc3
spinal cord decreased thickness	exosc3
vertebral column curved lateral	exosc3
vertebral column decreased length	exosc3
whole organism dead	exosc3
whole organism increased amount	exosc3
whole organism movement quality	exosc3
whole organism viability	exosc3
	aglb
	gnb5b
	braf
	tacr3l
	raf1a
cell population proliferation occurs_in endothelial cell increased rate	ifng1
defense response to bacterium disrupted	ifng1
hematopoietic stem cell decreased amount	ifng1
ventral wall of dorsal aorta has fewer parts of type	ifng1
embryonic structure detached from	irf6
epiboly involved in gastrulation with mouth forming second decreased occurrence	irf6
periderm broken	irf6
periderm ruptured	irf6
whole organism dead	irf6
whole organism decreased amount	irf6
whole organism decreased life span	irf6
	fbxo28
anatomical axis part_of whole organism decreased size	cnot1
anatomical system quality	cnot1
cellular senescence increased magnitude	cnot1
eye decreased size	cnot1
gut decreased size	cnot1
gut hypoplastic	cnot1
gut quality	cnot1
head decreased size	cnot1
head edematous	cnot1
heart quality	cnot1
liver decreased size	cnot1
liver hypoplastic	cnot1
liver quality	cnot1
otic vesicle decreased size	cnot1
otic vesicle malformed	cnot1
pericardium edematous	cnot1
trunk curved ventral	cnot1
whole organism decreased size	cnot1
nucleate erythrocyte decreased amount	sfxn4
nucleus part_of nucleate erythrocyte increased size	sfxn4
respiratory electron transport chain disrupted	sfxn4
