Gene name	Phenotype description
COL9A1	Autosomal recessive Stickler syndrome
COL9A1	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COL9A1	EPIPHYSEAL DYSPLASIA MULTIPLE 6
COL9A1	STICKLER SYNDROME TYPE IV
COL9A1	MULTIPLE EPIPHYSEAL DYSPLASIA TYPE 6
COL9A1	STICKLER SYNDROME TYPE 4
COL9A1	STICKLER SYNDROME TYPE IV
COL9A2	Autosomal recessive Stickler syndrome
COL9A2	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COL9A2	EPIPHYSEAL DYSPLASIA MULTIPLE 2
COL9A2	Stickler syndrome type V
COL9A2	MULTIPLE EPIPHYSEAL DYSPLASIA TYPE 2
COL9A2	Stickler syndrome type V
COL9A3	Autosomal recessive Stickler syndrome
COL9A3	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COL9A3	EPIPHYSEAL DYSPLASIA MULTIPLE 3
COL9A3	INTERVERTEBRAL DISC DISEASE
COL9A3	STICKLER SYNDROME TYPE VI
COL9A3	MULTIPLE EPIPHYSEAL DYSPLASIA TYPE 3
COL9A3	Stickler syndrome
COLGALT1	BRAIN SMALL VESSEL DISEASE 3
COLQ	Synaptic congenital myasthenic syndromes
COLQ	MYASTHENIC SYNDROME CONGENITAL 5
COMP	Multiple epiphyseal dysplasia type 1
COMP	PSEUDOACHONDROPLASIA
COMP	Carpal tunnel syndrome 2
COMP	EPIPHYSEAL DYSPLASIA MULTIPLE 1
COMP	PSEUDOACHONDROPLASIA
COMP	Multiple epiphyseal dysplasia type 1
COPA	Autoimmune interstitial lung disease-arthritis syndrome
COPA	AUTOIMMUNE INTERSTITIAL LUNG JOINT AND KIDNEY DISEASE
COQ5	COENZYME Q10 DEFICIENCY PRIMARY 9
COQ5	AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER
COQ8B	Genetic steroid-resistant nephrotic syndrome
COQ8B	Nephrotic syndrome type 9
COX10	Isolated cytochrome C oxidase deficiency
COX10	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 3
COX10	Leigh syndrome
COX11	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 23
COX14	Isolated cytochrome C oxidase deficiency
COX14	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 10
COX14	MITOCHONDRIAL COMPLEX IV DEFICIENCY
COX15	Fatal infantile cytochrome C oxidase deficiency
COX15	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 6
COX15	COX15-related Leigh Syndrome
COX16	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 22
COX16	COX16-related Developmental Disorder
COX20	Isolated cytochrome C oxidase deficiency
COX20	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 11
COX4I1	Isolated cytochrome C oxidase deficiency
COX4I1	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 16
COX5A	Isolated cytochrome C oxidase deficiency
COX5A	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 20
COX6A1	Autosomal recessive intermediate Charcot-Marie-Tooth disease type D
COX6A1	Charcot-Marie-Tooth disease recessive intermediate D
COX6A2	Isolated cytochrome C oxidase deficiency
COX6A2	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 18
COX6B1	Isolated cytochrome C oxidase deficiency
COX6B1	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 7
COX6B1	MITOCHONDRIAL COMPLEX IV DEFICIENCY
COX8A	Isolated cytochrome C oxidase deficiency
COX8A	MITOCHONDRIAL COMPLEX IV DEFICIENCY NUCLEAR TYPE 15
CPA6	Benign familial mesial temporal lobe epilepsy
CPA6	Familial mesial temporal lobe epilepsy with febrile seizures
CPA6	EPILEPSY FAMILIAL TEMPORAL LOBE 5
CPA6	FEBRILE SEIZURES FAMILIAL 11
CPAMD8	Autosomal recessive anterior segment dysgenesis
CPAMD8	ANTERIOR SEGMENT DYSGENESIS 8
CPAMD8	Anterior Segment Dysgenesis
CPLX1	Familial infantile myoclonic epilepsy
CPLX1	Wolf-Hirschhorn syndrome
CPLX1	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 63
CPLX1	Wolf-Hirschhorn syndrome
CPN1	CARBOXYPEPTIDASE N DEFICIENCY
CPN1	CARBOXYPEPTIDASE N DEFICIENCY
CPT1C	Autosomal dominant spastic paraplegia type 73
CPT1C	SPASTIC PARAPLEGIA 73 AUTOSOMAL DOMINANT
CRB1	Leber congenital amaurosis
CRB1	Nanophthalmos
CRB1	Pigmented paravenous retinochoroidal atrophy
CRB1	Retinitis pigmentosa
CRB1	LEBER CONGENITAL AMAUROSIS 8
CRB1	PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY
CRB1	RETINITIS PIGMENTOSA 12
CRB1	CRB1-related Leber Congenital Amaurosis and Retinitis Pigmentosa
CRB1	Macular dystrophy
CRB1	PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY
CRB1	RETINITIS PIGMENTOSA-12 AUTOSOMAL RECESSIVE
CRB2	Genetic steroid-resistant nephrotic syndrome
CRB2	Ventriculomegaly-cystic kidney disease
CRB2	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 9
CRB2	Ventriculomegaly with cystic kidney disease
CRB2	Retinitis pigmentosa
CRB2	Ventriculomegaly with cystic kidney disease
CRLS1	Combined oxidative phosphorylation deficiency 57
CRTAP	COLE-CARPENTER SYNDROME
CRTAP	Osteogenesis imperfecta type 2
CRTAP	Osteogenesis imperfecta type 3
CRTAP	Osteogenesis imperfecta type 4
CRTAP	OSTEOGENESIS IMPERFECTA TYPE VII
CRYAA	Cataract-microcornea syndrome
CRYAA	Early-onset anterior polar cataract
CRYAA	Early-onset lamellar cataract
CRYAA	Early-onset nuclear cataract
CRYAA	Total early-onset cataract
CRYAA	CATARACT 9 MULTIPLE TYPES
CRYAA	CATARACT 9 MULTIPLE TYPES
CRYAA	CATARACT AUTOSOMAL RECESSIVE CONGENITAL 1
CRYAA	CATARACT NUCLEAR
CRYAB	Alpha-B crystallin-related late-onset myopathy
CRYAB	Early-onset lamellar cataract
CRYAB	Early-onset nuclear cataract
CRYAB	Early-onset posterior polar cataract
CRYAB	Familial isolated dilated cardiomyopathy
CRYAB	Fatal infantile hypertonic myofibrillar myopathy
CRYAB	CARDIOMYOPATHY DILATED 1II
CRYAB	CATARACT 16 MULTIPLE TYPES
CRYAB	Myofibrillar myopathy 2
CRYAB	Myopathy myofibrillar fatal infantile hypertonic alpha-B crystallin-related
CRYAB	CATARACT POSTERIOR POLAR TYPE 2
CRYAB	CRYAB-related Alpha-related B crystallinpathy
CRYAB	Cataract 16 multiple types
CRYAB	Myopathy myofibrillar fatal infantile hypertonic alpha-B crystallin-related
CRYAB	Myopathy myofibrillar 2
CRYBA1	Early-onset lamellar cataract
CRYBA1	Early-onset nuclear cataract
CRYBA1	Early-onset posterior polar cataract
CRYBA1	Early-onset sutural cataract
CRYBA1	CATARACT 10 MULTIPLE TYPES
CRYBA1	CATARACT 10 MULTIPLE TYPES
CRYBA1	CATARACT CONGENITAL ZONULAR WITH SUTURAL OPACITIES
CRYBA2	Early-onset anterior polar cataract
CRYBA2	Early-onset nuclear cataract
CRYBA2	CATARACT 42
CRYBA2	CATARACT 42
CRYBB1	Cataract-microcornea syndrome
CRYBB1	Early-onset nuclear cataract
CRYBB1	Pulverulent cataract
CRYBB1	CATARACT 17 MULTIPLE TYPES
CRYBB1	CATARACT 17 MULTIPLE TYPES
CRYBB1	CATARACT 17 MULTIPLE TYPES MONOALLELIC
CRYBB2	Cataract-microcornea syndrome
CRYBB2	Cerulean cataract
CRYBB2	Early-onset nuclear cataract
CRYBB2	Early-onset posterior subcapsular cataract
CRYBB2	Early-onset sutural cataract
CRYBB2	Pulverulent cataract
CRYBB2	Total early-onset cataract
CRYBB2	CATARACT 3 MULTIPLE TYPES
CRYBB2	CATARACT 3 MULTIPLE TYPES
CRYBB2	CATARACT CONGENITAL CERULEAN TYPE 2
CRYBB2	CATARACT COPPOCK-LIKE
CRYBB3	Early-onset anterior polar cataract
CRYBB3	Early-onset nuclear cataract
CRYBB3	CATARACT 22 MULTIPLE TYPES
CRYBB3	CATARACT 22 MULTIPLE TYPES
CRYBB3	CATARACT 22 MULTIPLE TYPES monoallelic uncertain
CRYBB3	CATARACT CONGENITAL NUCLEAR AUTOSOMAL RECESSIVE 2
CRYGB	Early-onset anterior polar cataract
CRYGB	Early-onset lamellar cataract
CRYGB	Total early-onset cataract
CRYGB	Cataract 39 multiple types
CRYGB	Cataract 39 multiple types autosomal dominant
CRYGC	CATARACT 2 MULTIPLE TYPES
CRYGC	CATARACT 2 MULTIPLE TYPES
CRYGC	Cataract-microcornea syndrome
CRYGC	Early-onset lamellar cataract
CRYGC	Early-onset nuclear cataract
CRYGC	Pulverulent cataract
CRYGC	CATARACT 2 MULTIPLE TYPES
CRYGC	CATARACT 2 MULTIPLE TYPES
CRYGD	CATARACT 4 MULTIPLE TYPES
CRYGD	CATARACT 4 MULTIPLE TYPES
CRYGD	CATARACT 2 MULTIPLE TYPES
CRYGD	Cataract-microcornea syndrome
CRYGD	Cerulean cataract
CRYGD	Coralliform cataract
CRYGD	Early-onset lamellar cataract
CRYGD	Early-onset nuclear cataract
CRYGD	Pulverulent cataract
CRYGD	CATARACT 4 MULTIPLE TYPES
CRYGD	CATARACT 4 MULTIPLE TYPES
CRYGD	CATARACT 2 MULTIPLE TYPES
CRYGS	Early-onset lamellar cataract
CRYGS	Early-onset sutural cataract
CRYGS	CATARACT 20 MULTIPLE TYPES
CRYGS	Cataract 20 multiple types
CSF1R	Early-onset calcifying leukoencephalopathy-skeletal dysplasia
CSF1R	Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia
CSF1R	BRAIN ABNORMALITIES NEURODEGENERATION AND DYSOSTEOSCLEROSIS
CSF1R	LEUKOENCEPHALOPATHY HEREDITARY DIFFUSE WITH SPHEROIDS 1
CSF1R	BRAIN ABNORMALITIES NEURODEGENERATION AND DYSOSTEOSCLEROSIS
CSF1R	B-cell acute lymphoblastic leukemia
CSF1R	Bladder Small Cell Neuroendocrine Carcinoma
CSF1R	Brain Stem Glioblastoma
CSF1R	Breast Carcinoma by Gene Expression Profile
CSF1R	Chordoid Meningioma
CSF1R	Chronic Eosinophilic Leukemia Not Otherwise Specified
CSF1R	Chronic neutrophilic leukemia
CSF1R	Digestive System Carcinoma
CSF1R	Endometrial Endometrioid Adenocarcinoma
CSF1R	Gallbladder Small Cell Neuroendocrine Carcinoma
CSF1R	Gastric Adenoma
CSF1R	Hepatobiliary Neoplasm
CSF1R	Invasive Breast Carcinoma
CSF1R	Merkel cell skin cancer
CSF1R	ND
CSF1R	Ovarian Endometrioid Adenocarcinoma
CSF1R	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
CSF1R	Testicular Sertoli Cell Tumor
CSF1R	Thymic Undifferentiated Carcinoma
CSF1R	Acute lymphoblastic leukemia
CSF1R	Acute myeloid leukemia
CSF1R	adenosquamous lung carcinoma
CSF1R	angiosarcoma
CSF1R	Astrocytoma
CSF1R	bile duct carcinoma
CSF1R	bladder transitional cell carcinoma
CSF1R	brain glioblastoma
CSF1R	Breast carcinoma
CSF1R	breast ductal adenocarcinoma
CSF1R	cecum adenocarcinoma
CSF1R	cervical adenocarcinoma
CSF1R	cervical carcinoma
CSF1R	cervical squamous cell carcinoma
CSF1R	Chronic lymphocytic leukemia
CSF1R	Chronic myelogenous leukemia
CSF1R	Chronic myelomonocytic leukemia
CSF1R	Clear cell renal carcinoma
CSF1R	colon adenocarcinoma
CSF1R	colorectal adenocarcinoma
CSF1R	Dedifferentiated liposarcoma
CSF1R	diffuse large B-cell lymphoma
CSF1R	dysplastic nevus
CSF1R	Endometrial carcinoma
CSF1R	Ependymoma
CSF1R	gastric adenocarcinoma
CSF1R	head and neck squamous cell carcinoma
CSF1R	Hepatocellular Carcinoma
CSF1R	kidney neoplasm
CSF1R	lobular breast carcinoma
CSF1R	Lung adenocarcinoma
CSF1R	Lung carcinoma
CSF1R	lymphoid neoplasm
CSF1R	Melanoma
CSF1R	Multiple myeloma
CSF1R	Neoplasm
CSF1R	non-small cell lung carcinoma
CSF1R	oral squamous cell carcinoma
CSF1R	ovarian mucinous adenocarcinoma
CSF1R	pancreatic carcinoma
CSF1R	pancreatic ductal adenocarcinoma
CSF1R	pancreatic neuroendocrine tumor
CSF1R	pharyngeal squamous cell carcinoma
CSF1R	prostate adenocarcinoma
CSF1R	prostate carcinoma
CSF1R	rectal adenocarcinoma
CSF1R	skin carcinoma
CSF1R	Small cell lung carcinoma
CSF1R	soft tissue sarcoma
CSF1R	squamous cell lung carcinoma
CSF1R	testicular seminoma
CSF1R	thyroid carcinoma
CSF1R	thyroid neoplasm
CSF1R	urothelial carcinoma
CSF3R	Atypical chronic myeloid leukemia
CSF3R	Autosomal recessive severe congenital neutropenia due to CSF3R deficiency
CSF3R	Chronic neutrophilic leukemia
CSF3R	Hereditary neutrophilia
CSF3R	Neutropenia severe congenital 7 autosomal recessive
CSF3R	NEUTROPHILIA HEREDITARY
CSF3R	B-cell acute lymphoblastic leukemia
CSF3R	Breast Carcinoma by Gene Expression Profile
CSF3R	Chordoid Meningioma
CSF3R	Chronic Eosinophilic Leukemia Not Otherwise Specified
CSF3R	Chronic neutrophilic leukemia
CSF3R	Digestive System Carcinoma
CSF3R	Endometrial Endometrioid Adenocarcinoma
CSF3R	Gallbladder Small Cell Neuroendocrine Carcinoma
CSF3R	Hepatobiliary Neoplasm
CSF3R	Liver Cavernous Hemangioma
CSF3R	Merkel cell skin cancer
CSF3R	ND
CSF3R	Ocular Melanoma
CSF3R	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
CSF3R	Placental Choriocarcinoma
CSF3R	Pleural Epithelioid Mesothelioma
CSF3R	Psammomatous Meningioma
CSF3R	Sarcomatoid Mesothelioma
CSF3R	T-cell acute lymphoblastic leukemia
CSF3R	Acute lymphoblastic leukemia
CSF3R	Acute myeloid leukemia
CSF3R	adenosquamous lung carcinoma
CSF3R	adrenocortical adenoma
CSF3R	Anaplastic astrocytoma
CSF3R	bile duct carcinoma
CSF3R	bladder transitional cell carcinoma
CSF3R	brain glioblastoma
CSF3R	Breast carcinoma
CSF3R	breast ductal adenocarcinoma
CSF3R	cecum adenocarcinoma
CSF3R	cervical squamous cell carcinoma
CSF3R	Chronic lymphocytic leukemia
CSF3R	Chronic myelogenous leukemia
CSF3R	Chronic myelomonocytic leukemia
CSF3R	Clear cell renal carcinoma
CSF3R	colon adenocarcinoma
CSF3R	colorectal adenocarcinoma
CSF3R	dedifferentiated chondrosarcoma
CSF3R	diffuse large B-cell lymphoma
CSF3R	gastric adenocarcinoma
CSF3R	head and neck squamous cell carcinoma
CSF3R	Hepatocellular Carcinoma
CSF3R	kidney neoplasm
CSF3R	large cell lung carcinoma
CSF3R	Lung adenocarcinoma
CSF3R	Lung carcinoma
CSF3R	lymphoid neoplasm
CSF3R	Melanoma
CSF3R	Multiple myeloma
CSF3R	myeloid neoplasm
CSF3R	Myeloproliferative disorder
CSF3R	Neoplasm
CSF3R	non-small cell lung carcinoma
CSF3R	oral squamous cell carcinoma
CSF3R	pancreatic carcinoma
CSF3R	pancreatic ductal adenocarcinoma
CSF3R	pancreatic neuroendocrine tumor
CSF3R	prostate adenocarcinoma
CSF3R	prostate carcinoma
CSF3R	rectal adenocarcinoma
CSF3R	skin carcinoma
CSF3R	Small cell lung carcinoma
CSF3R	soft tissue sarcoma
CSF3R	squamous cell lung carcinoma
CSF3R	thyroid carcinoma
CSF3R	thyroid neoplasm
CSF3R	undifferentiated pleomorphic sarcoma
CSF3R	urothelial carcinoma
CST3	ACys amyloidosis
CST3	CEREBRAL AMYLOID ANGIOPATHY CST3-RELATED
CST3	MACULAR DEGENERATION AGE-RELATED 11
CST6	ECTODERMAL DYSPLASIA 15 HYPOHIDROTIC/HAIR TYPE
CSTB	Autosomal recessive hypohidrotic ectodermal dysplasia
CSTB	Progressive myoclonic epilepsy type 1
CSTB	MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG
CSTB	Unverricht-Lundborg disease
CTNNA1	Butterfly-shaped pigment dystrophy
CTNNA1	Hereditary diffuse gastric cancer
CTNNA1	MACULAR DYSTROPHY PATTERNED 2
CTNNA1	Macular dystrophy butterfly-shaped pigmentary 2
CTNNA1	B-cell acute lymphoblastic leukemia
CTNNA1	Bladder Small Cell Neuroendocrine Carcinoma
CTNNA1	Borderline Ovarian Mucinous Tumor
CTNNA1	Brain Stem Glioblastoma
CTNNA1	Breast Carcinoma by Gene Expression Profile
CTNNA1	Burkitts lymphoma
CTNNA1	Chordoid Meningioma
CTNNA1	Cortisol-Producing Adrenal Cortex Adenoma
CTNNA1	Digestive System Carcinoma
CTNNA1	Endometrial Endometrioid Adenocarcinoma
CTNNA1	Hepatobiliary Neoplasm
CTNNA1	Hodgkins lymphoma
CTNNA1	Lung Sclerosing Hemangioma
CTNNA1	Merkel cell skin cancer
CTNNA1	ND
CTNNA1	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
CTNNA1	Pancreatic Acinar Cell Carcinoma
CTNNA1	Secretory Meningioma
CTNNA1	T-cell acute lymphoblastic leukemia
CTNNA1	Uterine Carcinosarcoma
CTNNA1	Acute myeloid leukemia
CTNNA1	bile duct carcinoma
CTNNA1	bladder transitional cell carcinoma
CTNNA1	brain glioblastoma
CTNNA1	Breast carcinoma
CTNNA1	breast ductal adenocarcinoma
CTNNA1	cecum adenocarcinoma
CTNNA1	cervical squamous cell carcinoma
CTNNA1	Chronic lymphocytic leukemia
CTNNA1	Chronic myelomonocytic leukemia
CTNNA1	Clear cell renal carcinoma
CTNNA1	colon adenocarcinoma
CTNNA1	colon carcinoma
CTNNA1	colonic neoplasm
CTNNA1	colorectal adenocarcinoma
CTNNA1	diffuse gastric adenocarcinoma
CTNNA1	diffuse large B-cell lymphoma
CTNNA1	dysplastic nevus
CTNNA1	gastric adenocarcinoma
CTNNA1	head and neck squamous cell carcinoma
CTNNA1	Hepatocellular Carcinoma
CTNNA1	kidney neoplasm
CTNNA1	lobular breast carcinoma
CTNNA1	Lung adenocarcinoma
CTNNA1	Lung carcinoma
CTNNA1	lymphoid neoplasm
CTNNA1	Melanoma
CTNNA1	Neoplasm
CTNNA1	non-small cell lung carcinoma
CTNNA1	oral squamous cell carcinoma
CTNNA1	ovarian carcinoma
CTNNA1	ovarian clear cell adenocarcinoma
CTNNA1	ovarian mucinous adenocarcinoma
CTNNA1	pancreatic carcinoma
CTNNA1	pancreatic ductal adenocarcinoma
CTNNA1	pancreatic neuroendocrine tumor
CTNNA1	pharyngeal squamous cell carcinoma
CTNNA1	prostate adenocarcinoma
CTNNA1	prostate carcinoma
CTNNA1	rectal adenocarcinoma
CTNNA1	skin carcinoma
CTNNA1	Small cell lung carcinoma
CTNNA1	soft tissue sarcoma
CTNNA1	squamous cell lung carcinoma
CTNNA1	thyroid carcinoma
CTNNA1	urothelial carcinoma
CTNNA3	Familial isolated arrhythmogenic ventricular dysplasia biventricular form
CTNNA3	Familial isolated arrhythmogenic ventricular dysplasia left dominant form
CTNNA3	Familial isolated arrhythmogenic ventricular dysplasia right dominant form
CTNNA3	Arrhythmogenic right ventricular dysplasia familial 13
CTNNB1	Adrenocortical carcinoma
CTNNB1	Adult hepatocellular carcinoma
CTNNB1	Craniopharyngioma
CTNNB1	Desmoid tumor
CTNNB1	Familial exudative vitreoretinopathy
CTNNB1	Microcystic stromal tumor
CTNNB1	NON RARE IN EUROPE: Aldosterone-producing adenoma
CTNNB1	Pediatric hepatocellular carcinoma
CTNNB1	Pilomatrixoma
CTNNB1	Severe intellectual disability-progressive spastic diplegia syndrome
CTNNB1	Colorectal Cancer
CTNNB1	EXUDATIVE VITREORETINOPATHY 7
CTNNB1	Hepatocellular Carcinoma
CTNNB1	Medulloblastoma
CTNNB1	NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS
CTNNB1	OVARIAN CANCER OVARIAN CANCER EPITHELIAL INCLUDED
CTNNB1	Pilomatrixoma
CTNNB1	Exudative vitreoretinopathy
CTNNB1	INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL DOMINANT 19
CTNNB1	Adenosquamous Carcinoma
CTNNB1	Appendix Adenocarcinoma
CTNNB1	Bladder Adenocarcinoma
CTNNB1	Bladder Small Cell Neuroendocrine Carcinoma
CTNNB1	Borderline Ovarian Endometrioid Tumor
CTNNB1	Borderline Ovarian Mucinous Tumor
CTNNB1	Borderline Ovarian Serous Tumor
CTNNB1	Brain Stem Glioblastoma
CTNNB1	Breast Carcinoma by Gene Expression Profile
CTNNB1	Calcifying Nested Epithelial Stromal Tumor of the Liver
CTNNB1	Chordoid Meningioma
CTNNB1	Colorectal Hamartoma
CTNNB1	Colorectal Neuroendocrine Tumor G1
CTNNB1	Cortisol-Producing Adrenal Cortex Adenoma
CTNNB1	Craniopharyngioma
CTNNB1	Desmoid-type fibromatosis
CTNNB1	Digestive System Adenoma
CTNNB1	Digestive System Carcinoma
CTNNB1	Endometrial Endometrioid Adenocarcinoma
CTNNB1	Endometrial Squamous Cell Carcinoma
CTNNB1	Gallbladder Small Cell Neuroendocrine Carcinoma
CTNNB1	Gastric Adenoma
CTNNB1	Gastric Hamartomatous Polyp
CTNNB1	Hepatobiliary Neoplasm
CTNNB1	Hodgkins lymphoma
CTNNB1	Lung Sclerosing Hemangioma
CTNNB1	Major Salivary Gland Carcinoma
CTNNB1	Malignant Ovarian Mixed Epithelial Tumor
CTNNB1	Merkel cell skin cancer
CTNNB1	ND
CTNNB1	Olfactory Neuroblastoma
CTNNB1	Ovarian Carcinosarcoma
CTNNB1	Ovarian Endometrioid Adenocarcinoma
CTNNB1	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
CTNNB1	Ovarian Yolk Sac Tumor
CTNNB1	Pancreatic Acinar Cell Carcinoma
CTNNB1	Parotid Gland Pleomorphic Adenoma
CTNNB1	Pleural Biphasic Mesothelioma
CTNNB1	Pleural Epithelioid Mesothelioma
CTNNB1	Primary Intraosseous Squamous Cell Carcinoma
CTNNB1	Salivary Gland Carcinoma ex Pleomorphic Adenoma
CTNNB1	Sarcomatoid Carcinoma
CTNNB1	Secretory Meningioma
CTNNB1	T-cell acute lymphoblastic leukemia
CTNNB1	Testicular Sclerosing Sertoli Cell Tumor
CTNNB1	Testicular Sertoli Cell Tumor
CTNNB1	Testicular Teratoma
CTNNB1	Testicular Yolk Sac Tumor
CTNNB1	Uterine Carcinosarcoma
CTNNB1	Acute lymphoblastic leukemia
CTNNB1	Acute myeloid leukemia
CTNNB1	adenosquamous lung carcinoma
CTNNB1	adrenocortical adenoma
CTNNB1	Anaplastic astrocytoma
CTNNB1	bile duct carcinoma
CTNNB1	bladder transitional cell carcinoma
CTNNB1	brain glioblastoma
CTNNB1	Breast carcinoma
CTNNB1	breast ductal adenocarcinoma
CTNNB1	carcinoid tumor
CTNNB1	cecum adenocarcinoma
CTNNB1	cervical adenocarcinoma
CTNNB1	cervical squamous cell carcinoma
CTNNB1	Chronic lymphocytic leukemia
CTNNB1	Clear cell renal carcinoma
CTNNB1	colon adenocarcinoma
CTNNB1	colon carcinoma
CTNNB1	colorectal adenocarcinoma
CTNNB1	Colorectal adenoma
CTNNB1	colorectal neoplasm
CTNNB1	Dedifferentiated liposarcoma
CTNNB1	desmoplastic fibroma
CTNNB1	desmoplastic medulloblastoma
CTNNB1	diffuse gastric adenocarcinoma
CTNNB1	diffuse large B-cell lymphoma
CTNNB1	Endometrial carcinoma
CTNNB1	Endometrial stromal sarcoma
CTNNB1	endometrium adenocarcinoma
CTNNB1	Fibrosarcoma
CTNNB1	gastric adenocarcinoma
CTNNB1	head and neck squamous cell carcinoma
CTNNB1	Hepatocellular Carcinoma
CTNNB1	hyperplasia
CTNNB1	kidney neoplasm
CTNNB1	large cell medulloblastoma
CTNNB1	leiomyosarcoma
CTNNB1	lobular breast carcinoma
CTNNB1	Lung adenocarcinoma
CTNNB1	Lung carcinoma
CTNNB1	lymphoid neoplasm
CTNNB1	Malignant peripheral nerve sheath tumor
CTNNB1	Medulloblastoma
CTNNB1	Melanoma
CTNNB1	Multiple myeloma
CTNNB1	Neoplasm
CTNNB1	non-small cell lung carcinoma
CTNNB1	oral squamous cell carcinoma
CTNNB1	ovarian adenocarcinoma
CTNNB1	ovarian carcinoma
CTNNB1	ovarian clear cell adenocarcinoma
CTNNB1	ovarian mucinous adenocarcinoma
CTNNB1	Ovarian neoplasm
CTNNB1	pancreatic carcinoma
CTNNB1	pancreatic ductal adenocarcinoma
CTNNB1	pancreatic neoplasm
CTNNB1	pancreatic neuroendocrine tumor
CTNNB1	Parathyroid adenoma
CTNNB1	pharyngeal squamous cell carcinoma
CTNNB1	prostate adenocarcinoma
CTNNB1	prostate carcinoma
CTNNB1	pseudomyxoma peritonei
CTNNB1	pulmonary blastoma
CTNNB1	rectal adenocarcinoma
CTNNB1	Rhabdomyosarcoma
CTNNB1	Sarcoma
CTNNB1	sebaceous adenocarcinoma
CTNNB1	skin appendage carcinoma
CTNNB1	skin carcinoma
CTNNB1	Small cell lung carcinoma
CTNNB1	soft tissue sarcoma
CTNNB1	squamous cell lung carcinoma
CTNNB1	Synovial sarcoma
CTNNB1	testicular mixed germ cell tumor
CTNNB1	testicular neoplasm
CTNNB1	testicular seminoma
CTNNB1	thyroid carcinoma
CTNNB1	thyroid neoplasm
CTNNB1	transitional cell carcinoma of kidney
CTNNB1	Ulcerative colitis
CTNNB1	undifferentiated pleomorphic sarcoma
CTNNB1	urothelial carcinoma
CTNS	Infantile nephropathic cystinosis
CTNS	Juvenile nephropathic cystinosis
CTNS	Ocular cystinosis
CTNS	CYSTINOSIS ADULT NONNEPHROPATHIC
CTNS	CYSTINOSIS LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE
CTNS	CYSTINOSIS NEPHROPATHIC
CTNS	CYSTINOSIS NEPHROPATHIC TYPE
CTNS	CYSTINOSIS NEPHROPATHIC
CTPS1	Severe combined immunodeficiency due to CTPS1 deficiency
CTPS1	IMMUNODEFICIENCY 24
CTSD	CLN10 disease
CTSD	CEROID LIPOFUSCINOSIS NEURONAL 10
CTSD	CEROID LIPOFUSCINOSIS NEURONAL 10
CTSF	CLN13 disease
CTSF	CEROID LIPOFUSCINOSIS NEURONAL 13 KUFS TYPE
CTSK	PYCNODYSOSTOSIS
CTSK	PYCNODYSOSTOSIS
CTSK	PYCNODYSOSTOSIS
CUX2	Lennox-Gastaut syndrome
CUX2	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 67
CUX2	Developmental epileptic encephalopathy
CXCR4	WHIM SYNDROME
CXCR4	WHIM SYNDROME 1
CXCR4	Warts hypogammaglobulinaemia infections and myelokathexis syndrome
CXCR4	B-cell acute lymphoblastic leukemia
CXCR4	Brain Stem Glioblastoma
CXCR4	Burkitts lymphoma
CXCR4	Endometrial Endometrioid Adenocarcinoma
CXCR4	Hepatobiliary Neoplasm
CXCR4	Hodgkins lymphoma
CXCR4	Merkel cell skin cancer
CXCR4	ND
CXCR4	Placental Choriocarcinoma
CXCR4	T-cell acute lymphoblastic leukemia
CXCR4	Acute myeloid leukemia
CXCR4	benign monoclonal gammopathy
CXCR4	bile duct carcinoma
CXCR4	bladder transitional cell carcinoma
CXCR4	brain glioblastoma
CXCR4	Breast carcinoma
CXCR4	breast ductal adenocarcinoma
CXCR4	cecum adenocarcinoma
